epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,320.339,0.46779,0.59752,0.9148,0.69328,0.66142,0.64649,0.59473,0.47571,0.7589,0.96419,0.0005348,0.0005348,0.0005348
76,324.612,0.49059,0.64334,0.93408,0.69775,0.64567,0.65691,0.59382,0.44967,0.73558,0.95105,0.000515,0.000515,0.000515
77,328.934,0.45857,0.57916,0.92258,0.71164,0.68015,0.6714,0.61048,0.45647,0.70403,0.95125,0.0004952,0.0004952,0.0004952
78,333.478,0.47762,0.61835,0.93229,0.67617,0.65354,0.66372,0.60145,0.47845,0.74094,0.96207,0.0004754,0.0004754,0.0004754
79,338.137,0.45217,0.58958,0.92474,0.69455,0.67717,0.6596,0.60389,0.46298,0.71615,0.95929,0.0004556,0.0004556,0.0004556
80,342.367,0.48927,0.59597,0.93704,0.6635,0.66142,0.6317,0.57969,0.49233,0.79131,0.98494,0.0004358,0.0004358,0.0004358
81,346.536,0.45874,0.55611,0.90579,0.74483,0.6063,0.63855,0.577,0.49632,0.74769,0.98142,0.000416,0.000416,0.000416
82,350.739,0.46076,0.62322,0.92427,0.73703,0.64567,0.65291,0.60011,0.48217,0.76488,0.96643,0.0003962,0.0003962,0.0003962
83,354.954,0.45113,0.55088,0.90088,0.80414,0.5819,0.66483,0.61157,0.4452,0.72455,0.95603,0.0003764,0.0003764,0.0003764
84,359.191,0.44604,0.57481,0.91333,0.73783,0.62049,0.65803,0.60204,0.46381,0.72472,0.9711,0.0003566,0.0003566,0.0003566
85,363.439,0.45853,0.57201,0.92088,0.76121,0.62755,0.6681,0.61258,0.47657,0.70015,0.96811,0.0003368,0.0003368,0.0003368
86,367.672,0.46145,0.56972,0.91337,0.74164,0.61417,0.63976,0.59543,0.45937,0.80276,0.96582,0.000317,0.000317,0.000317
87,371.894,0.43348,0.55791,0.90541,0.74935,0.65915,0.67494,0.61736,0.45542,0.66542,0.95593,0.0002972,0.0002972,0.0002972
88,376.135,0.4187,0.54806,0.89639,0.68317,0.67914,0.65953,0.60935,0.45624,0.70049,0.95108,0.0002774,0.0002774,0.0002774
89,380.361,0.46258,0.57283,0.91595,0.64087,0.64636,0.65562,0.5979,0.47699,0.73235,0.95789,0.0002576,0.0002576,0.0002576
90,384.57,0.43202,0.5207,0.90505,0.6189,0.66142,0.63832,0.58603,0.45906,0.78944,0.95686,0.0002378,0.0002378,0.0002378
91,395.703,0.33299,0.49711,0.83948,0.67528,0.62224,0.64829,0.60237,0.46482,0.79069,0.95974,0.000218,0.000218,0.000218
92,399.954,0.32474,0.45911,0.83468,0.7529,0.6238,0.67084,0.62324,0.4489,0.72155,0.96115,0.0001982,0.0001982,0.0001982
93,404.153,0.32969,0.42971,0.83993,0.67334,0.66547,0.66073,0.61447,0.45503,0.70739,0.96938,0.0001784,0.0001784,0.0001784
94,408.321,0.31419,0.42036,0.83404,0.68735,0.6405,0.65591,0.60636,0.45904,0.7326,0.96571,0.0001586,0.0001586,0.0001586
95,412.421,0.31386,0.41434,0.82263,0.71598,0.61535,0.65148,0.6055,0.46105,0.74446,0.9672,0.0001388,0.0001388,0.0001388
96,416.554,0.31312,0.4186,0.83663,0.71296,0.6378,0.66521,0.61968,0.45921,0.72657,0.97005,0.000119,0.000119,0.000119
97,420.676,0.31187,0.42872,0.83543,0.69547,0.6378,0.67385,0.62251,0.45644,0.72566,0.97115,9.92e-05,9.92e-05,9.92e-05
98,424.838,0.30307,0.39265,0.83436,0.69697,0.6378,0.66604,0.60969,0.45892,0.75816,0.97129,7.94e-05,7.94e-05,7.94e-05
99,428.959,0.30807,0.42093,0.81919,0.67187,0.65354,0.66109,0.60807,0.45932,0.75858,0.96965,5.96e-05,5.96e-05,5.96e-05
100,433.557,0.31865,0.446,0.83437,0.66985,0.65502,0.66791,0.61305,0.46309,0.75652,0.97251,3.98e-05,3.98e-05,3.98e-05
